id,keyword,category,intent,estimated_monthly_search_volume,competition,commercial_value_1_5,suggested_page_type,priority_cluster,notes
143,air freight from shanghai to tel aviv,Commercial keywords,Buy / RFQ,420,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
144,air freight from shanghai to mumbai,Commercial keywords,Buy / RFQ,270,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
145,air freight from shanghai to delhi,Commercial keywords,Buy / RFQ,310,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
146,air freight from shanghai to jakarta,Commercial keywords,Buy / RFQ,340,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
147,air freight from shanghai to bangkok,Commercial keywords,Buy / RFQ,380,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
148,air freight from shanghai to kuala lumpur,Commercial keywords,Buy / RFQ,420,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
149,air freight from shanghai to sydney,Commercial keywords,Buy / RFQ,260,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
150,air freight from shanghai to melbourne,Commercial keywords,Buy / RFQ,300,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
151,air freight from shenzhen to usa,Commercial keywords,Buy / RFQ,650,High,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
152,air freight from shenzhen to canada,Commercial keywords,Buy / RFQ,370,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
153,air freight from shenzhen to mexico,Commercial keywords,Buy / RFQ,410,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
154,air freight from shenzhen to brazil,Commercial keywords,Buy / RFQ,450,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
155,air freight from shenzhen to germany,Commercial keywords,Buy / RFQ,610,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
156,air freight from shenzhen to france,Commercial keywords,Buy / RFQ,330,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
157,air freight from shenzhen to italy,Commercial keywords,Buy / RFQ,370,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
158,air freight from shenzhen to spain,Commercial keywords,Buy / RFQ,410,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
159,air freight from shenzhen to united kingdom,Commercial keywords,Buy / RFQ,440,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
160,air freight from shenzhen to netherlands,Commercial keywords,Buy / RFQ,290,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
161,air freight from shenzhen to belgium,Commercial keywords,Buy / RFQ,330,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
162,air freight from shenzhen to poland,Commercial keywords,Buy / RFQ,360,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
163,air freight from shenzhen to uae,Commercial keywords,Buy / RFQ,400,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
164,air freight from shenzhen to saudi arabia,Commercial keywords,Buy / RFQ,440,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
165,air freight from shenzhen to qatar,Commercial keywords,Buy / RFQ,290,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
166,air freight from shenzhen to kuwait,Commercial keywords,Buy / RFQ,320,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
167,air freight from shenzhen to oman,Commercial keywords,Buy / RFQ,360,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
168,air freight from shenzhen to bahrain,Commercial keywords,Buy / RFQ,400,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
169,air freight from shenzhen to turkey,Commercial keywords,Buy / RFQ,430,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
170,air freight from shenzhen to nigeria,Commercial keywords,Buy / RFQ,280,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
171,air freight from shenzhen to ghana,Commercial keywords,Buy / RFQ,320,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
172,air freight from shenzhen to kenya,Commercial keywords,Buy / RFQ,350,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
173,air freight from shenzhen to south africa,Commercial keywords,Buy / RFQ,390,Medium,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
174,air freight from shenzhen to ethiopia,Commercial keywords,Buy / RFQ,430,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
175,air freight from shenzhen to tanzania,Commercial keywords,Buy / RFQ,280,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
176,air freight from shenzhen to uganda,Commercial keywords,Buy / RFQ,310,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
177,air freight from shenzhen to egypt,Commercial keywords,Buy / RFQ,350,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
178,air freight from shenzhen to morocco,Commercial keywords,Buy / RFQ,390,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
179,air freight from shenzhen to algeria,Commercial keywords,Buy / RFQ,420,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
180,air freight from shenzhen to israel,Commercial keywords,Buy / RFQ,270,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
181,air freight from shenzhen to india,Commercial keywords,Buy / RFQ,310,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
182,air freight from shenzhen to indonesia,Commercial keywords,Buy / RFQ,340,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
183,air freight from shenzhen to vietnam,Commercial keywords,Buy / RFQ,380,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
184,air freight from shenzhen to thailand,Commercial keywords,Buy / RFQ,420,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
185,air freight from shenzhen to malaysia,Commercial keywords,Buy / RFQ,270,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
186,air freight from shenzhen to singapore,Commercial keywords,Buy / RFQ,300,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
187,air freight from shenzhen to australia,Commercial keywords,Buy / RFQ,340,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
188,air freight from shenzhen to new zealand,Commercial keywords,Buy / RFQ,380,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
189,air freight from shenzhen to chile,Commercial keywords,Buy / RFQ,410,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
190,air freight from shenzhen to peru,Commercial keywords,Buy / RFQ,260,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
191,air freight from shenzhen to los angeles,Commercial keywords,Buy / RFQ,610,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
192,air freight from shenzhen to new york,Commercial keywords,Buy / RFQ,330,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
193,air freight from shenzhen to chicago,Commercial keywords,Buy / RFQ,370,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
194,air freight from shenzhen to dallas,Commercial keywords,Buy / RFQ,410,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
195,air freight from shenzhen to miami,Commercial keywords,Buy / RFQ,450,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
196,air freight from shenzhen to toronto,Commercial keywords,Buy / RFQ,290,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
197,air freight from shenzhen to vancouver,Commercial keywords,Buy / RFQ,330,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
198,air freight from shenzhen to mexico city,Commercial keywords,Buy / RFQ,370,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
199,air freight from shenzhen to sao paulo,Commercial keywords,Buy / RFQ,400,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
200,air freight from shenzhen to frankfurt,Commercial keywords,Buy / RFQ,440,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
201,air freight from shenzhen to amsterdam,Commercial keywords,Buy / RFQ,290,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
202,air freight from shenzhen to paris,Commercial keywords,Buy / RFQ,320,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
203,air freight from shenzhen to milan,Commercial keywords,Buy / RFQ,360,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
204,air freight from shenzhen to madrid,Commercial keywords,Buy / RFQ,400,Medium,5,Landing page,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
